Order ID,Consumer,Home Office,Corporate,Date of Sale,Order Quantity
US-2019-103800,1,0,0,2019-01-03,2
US-2019-112326,0,1,0,2019-01-04,2
US-2019-141817,1,0,0,2019-01-04,3
US-2019-167199,0,1,0,2019-01-04,3
US-2019-106054,0,0,1,2019-01-05,3
US-2019-130813,1,0,0,2019-01-06,9
US-2019-105417,1,0,0,2019-01-06,2
US-2019-135405,1,0,0,2019-01-06,3
US-2019-149020,0,0,1,2019-01-06,2
US-2019-130092,1,0,0,2019-01-06,4
US-2019-157147,1,0,0,2019-01-06,1
US-2019-109232,1,0,0,2019-01-06,3
US-2019-118192,1,0,0,2019-01-06,4
US-2019-162775,0,0,1,2019-01-06,2
US-2019-149524,0,0,1,2019-01-07,3
US-2019-103366,1,0,0,2019-01-07,7
US-2019-115791,1,0,0,2019-01-09,2
US-2019-123477,0,0,1,2019-01-09,3
US-2019-146591,1,0,0,2019-01-10,1
US-2019-147627,1,0,0,2019-01-10,1
US-2019-167927,1,0,0,2019-01-11,2
US-2019-148614,1,0,0,2019-01-13,3
US-2019-147774,0,0,1,2019-01-13,6
US-2019-110422,1,0,0,2019-01-13,5
CA-2019-115238,0,0,1,2019-01-13,2
US-2019-146997,1,0,0,2019-01-13,3
US-2019-102645,1,0,0,2019-01-13,3
US-2019-167997,0,0,1,2019-01-13,2
US-2019-155502,0,1,0,2019-01-13,7
US-2019-117163,1,0,0,2019-01-13,6
US-2019-100328,1,0,0,2019-01-13,5
US-2019-134103,1,0,0,2019-01-13,6
US-2019-115161,1,0,0,2019-01-14,4
US-2019-140795,1,0,0,2019-01-15,5
US-2019-123400,1,0,0,2019-01-16,6
US-2019-139857,0,1,0,2019-01-16,2
US-2019-111059,1,0,0,2019-01-16,3
US-2019-104808,0,0,1,2019-01-16,3
US-2019-107181,0,1,0,2019-01-18,4
US-2019-108182,1,0,0,2019-01-19,5
US-2019-131905,0,0,1,2019-01-19,10
US-2019-169390,0,0,1,2019-01-19,5
US-2019-107755,0,0,1,2019-01-19,4
US-2019-125759,0,1,0,2019-01-20,3
US-2019-168368,1,0,0,2019-01-20,3
US-2019-127614,1,0,0,2019-01-20,3
US-2019-110674,1,0,0,2019-01-20,4
US-2019-121762,0,0,1,2019-01-20,2
US-2019-107706,1,0,0,2019-01-20,4
US-2019-165568,0,0,1,2019-01-20,7
US-2019-122567,1,0,0,2019-01-20,3
US-2019-154165,1,0,0,2019-01-20,3
US-2019-165589,1,0,0,2019-01-20,5
US-2019-152905,1,0,0,2019-01-20,1
US-2019-109491,0,0,1,2019-01-20,5
US-2019-164903,0,1,0,2019-01-20,3
US-2019-165540,1,0,0,2019-01-20,2
US-2019-133354,1,0,0,2019-01-20,1
US-2019-103744,0,1,0,2019-01-20,2
US-2019-137680,1,0,0,2019-01-20,7
US-2019-156545,1,0,0,2019-01-21,3
US-2019-113880,0,1,0,2019-01-21,5
US-2019-131009,1,0,0,2019-01-21,1
US-2019-104269,1,0,0,2019-01-21,5
US-2019-168312,1,0,0,2019-01-21,1
US-2019-143707,0,1,0,2019-01-21,10
US-2019-107524,0,1,0,2019-01-23,3
US-2019-111157,0,0,1,2019-01-23,6
US-2019-127978,0,0,1,2019-01-26,2
US-2019-105648,1,0,0,2019-01-26,3
US-2019-130421,1,0,0,2019-01-26,3
US-2019-155852,1,0,0,2019-01-26,2
US-2019-127964,0,1,0,2019-01-26,2
US-2019-117016,1,0,0,2019-01-26,3
US-2019-116239,1,0,0,2019-01-26,8
US-2019-169061,1,0,0,2019-01-26,2
US-2019-104563,0,0,1,2019-01-26,13
US-2019-156587,1,0,0,2019-01-27,3
